,Unnamed: 0,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
0,0,21.4411,-158.1885,0.19082768779180034,0.0,1.0,CONDO,FOR_SALE
1,1,21.320112,-157.79565,1.5971447782574595,4.0,3.0,SINGLE_FAMILY,FOR_SALE
2,2,21.321608,-158.0127,0.6885560786887613,3.0,2.0,SINGLE_FAMILY,FOR_SALE
3,3,21.440254,-158.18042,0.6015220593437185,3.0,2.0,SINGLE_FAMILY,FOR_SALE
4,4,21.369734,-157.92274,0.3982490875654964,1.0,1.0,TOWNHOUSE,FOR_SALE
5,5,21.673733,-157.95506,0.8545761670676276,3.0,3.0,SINGLE_FAMILY,FOR_SALE
6,6,21.302103,-157.83914,0.3982490875654964,3.0,2.0,SINGLE_FAMILY,FOR_SALE
7,7,21.385515,-158.1478,0.0522701927429714,2.0,1.0,CONDO,FOR_SALE
8,8,21.398397,-158.03343,0.788201319140045,3.0,3.0,SINGLE_FAMILY,FOR_SALE
9,9,21.30462,-157.8495,0.3401710956288615,1.0,1.0,CONDO,FOR_SALE
10,10,21.4096,-158.00708,0.5475924954025575,3.0,2.0,TOWNHOUSE,FOR_SALE
11,11,21.69274,-158.0182,2.9864533139416753,5.0,4.0,SINGLE_FAMILY,FOR_SALE
12,12,21.386131,-157.94589,0.4969816738577757,3.0,2.0,TOWNHOUSE,FOR_SALE
13,13,21.401812,-157.78452,0.7035733880323769,4.0,2.0,SINGLE_FAMILY,FOR_SALE
14,14,21.265036,-157.70872,4.0447172955870725,5.0,4.0,SINGLE_FAMILY,FOR_SALE
15,15,21.294588,-157.83871,0.38995223157454856,2.0,1.0,CONDO,FOR_SALE
16,16,21.437458,-157.8242,0.44803022351118343,2.0,1.0,CONDO,FOR_SALE
17,17,21.407122,-157.74747,1.0528710252512812,3.0,1.0,SINGLE_FAMILY,FOR_SALE
18,18,21.382223,-157.75684,1.0288101428775323,3.0,2.0,SINGLE_FAMILY,FOR_SALE
19,19,21.404589,-158.16342,0.6629187936767326,3.0,3.0,SINGLE_FAMILY,FOR_SALE
20,20,21.283178,-157.74477,5.144050714387662,5.0,5.0,SINGLE_FAMILY,FOR_SALE
21,21,21.341202,-158.02193,0.7923497471355189,3.0,3.0,SINGLE_FAMILY,FOR_SALE
22,22,21.456347,-157.84427,0.9947930333146462,8.0,5.0,SINGLE_FAMILY,FOR_SALE
23,23,21.474339,-157.99712,0.576631491370875,3.0,2.0,TOWNHOUSE,FOR_SALE
24,24,21.309084,-157.84286,0.3816553755836007,1.0,1.0,CONDO,FOR_SALE
25,25,21.43701,-157.83676,0.9541384389590017,4.0,2.0,SINGLE_FAMILY,FOR_SALE
26,26,21.582754,-158.13676,0.35261637961528325,1.0,1.0,CONDO,FOR_SALE
27,27,21.480673,-158.20386,0.2945383876786484,2.0,1.0,CONDO,FOR_SALE
28,28,21.381184,-157.91458,2.2360026895604435,5.0,6.0,SINGLE_FAMILY,FOR_SALE
29,29,21.467752,-157.84349,0.16552227701940944,,,LOT,FOR_SALE
30,30,21.405525,-157.89836,0.5799502337672541,4.0,3.0,TOWNHOUSE,FOR_SALE
31,31,21.419111,-157.99568,0.7550138951762536,3.0,2.0,SINGLE_FAMILY,FOR_SALE
32,32,21.442827,-158.01056,1.0371069988684802,4.0,3.0,SINGLE_FAMILY,FOR_SALE
33,33,21.292128,-157.72519,0.9955397503538315,3.0,1.0,SINGLE_FAMILY,FOR_SALE
34,34,21.396975,-157.9514,0.5683346353799271,3.0,3.0,TOWNHOUSE,FOR_SALE
35,35,21.424377,-157.81178,1.160730153133603,4.0,2.0,SINGLE_FAMILY,FOR_SALE
36,36,21.36685,-157.93343,0.9541384389590017,9.0,6.0,SINGLE_FAMILY,FOR_SALE
37,37,21.337223,-158.11118,0.6430063392984577,2.0,3.0,TOWNHOUSE,FOR_SALE
38,38,21.284958,-157.73361,1.2403799706467022,4.0,2.0,SINGLE_FAMILY,FOR_SALE
39,39,21.393728,-157.93852,1.1408176987553282,4.0,2.0,SINGLE_FAMILY,FOR_SALE
40,40,21.640684,-158.04211,1.5755729526809952,4.0,4.0,SINGLE_FAMILY,FOR_SALE
41,41,21.303783,-157.68549,0.795668489531898,4.0,2.0,TOWNHOUSE,FOR_SALE
42,42,21.387434,-157.94186,0.3775069475881268,2.0,1.0,CONDO,FOR_SALE
43,43,21.470848,-158.00262,0.36340229240351546,2.0,2.0,TOWNHOUSE,FOR_SALE
44,44,21.28667,-157.82666,0.43060682593019295,1.0,1.0,CONDO,FOR_SALE
45,45,21.33591,-158.02518,0.41484279954739206,2.0,2.0,TOWNHOUSE,FOR_SALE
46,46,21.350294,-158.03732,0.7218264712124622,3.0,3.0,SINGLE_FAMILY,FOR_SALE
47,47,21.285904,-157.82692,0.39741940196640163,2.0,1.0,CONDO,FOR_SALE
48,48,21.306828,-157.84666,0.3725288339935581,2.0,2.0,CONDO,FOR_SALE
49,49,21.349623,-158.0366,1.2860126785969155,3.0,2.0,SINGLE_FAMILY,FOR_SALE
50,50,21.304926,-157.85025,0.29038995968317444,1.0,1.0,CONDO,FOR_SALE
51,51,21.290108,-157.8096,0.22816353975106565,3.0,2.0,CONDO,FOR_SALE
52,52,21.430632,-157.95227,1.0371069988684802,6.0,4.0,SINGLE_FAMILY,FOR_SALE
53,53,21.458614,-158.00012,1.1615598387326977,3.0,2.0,SINGLE_FAMILY,FOR_SALE
54,54,21.343496,-157.8641,1.0785912788232195,7.0,2.0,SINGLE_FAMILY,FOR_SALE
55,55,21.44589,-158.01245,0.891912019026893,4.0,3.0,SINGLE_FAMILY,FOR_SALE
56,56,21.390778,-158.14973,0.6098189153346664,4.0,3.0,SINGLE_FAMILY,FOR_SALE
57,57,21.309444,-157.84935,0.5799502337672541,2.0,2.0,CONDO,FOR_SALE
58,58,21.677616,-157.97752,1.7423397580990467,3.0,2.0,TOWNHOUSE,FOR_SALE
59,59,21.369225,-157.89168,0.8255371710993102,4.0,3.0,SINGLE_FAMILY,FOR_SALE
60,60,21.40663,-158.17299,0.6222641993210881,4.0,2.0,SINGLE_FAMILY,FOR_SALE
61,61,21.483,-158.19305,0.784052891144571,4.0,3.0,SINGLE_FAMILY,FOR_SALE
62,62,21.291458,-157.83942,0.34680858042161977,2.0,2.0,CONDO,FOR_SALE
63,63,21.472744,-158.00977,0.5600377793889793,2.0,2.0,TOWNHOUSE,FOR_SALE
64,64,21.284418,-157.82936,0.5185534994342401,2.0,2.0,CONDO,FOR_SALE
65,65,21.301836,-157.8404,0.4563270795021313,2.0,2.0,CONDO,FOR_SALE
66,66,21.379366,-157.93213,0.25720253571938306,2.0,1.0,CONDO,FOR_SALE
67,67,21.335508,-158.0637,0.4355849395247617,2.0,2.0,TOWNHOUSE,FOR_SALE
68,68,21.402725,-158.02423,1.0205132868865845,4.0,3.0,SINGLE_FAMILY,FOR_SALE
69,69,21.304214,-157.84633,0.28624153168770056,1.0,1.0,CONDO,FOR_SALE
70,70,21.286493,-157.8,2.887305884849849,,,MULTI_FAMILY,FOR_SALE
71,71,21.400707,-157.80145,0.4023975155609703,2.0,1.0,CONDO,FOR_SALE
72,72,21.411116,-157.77202,1.514176218347981,3.0,2.0,SINGLE_FAMILY,FOR_SALE
73,73,21.413324,-157.80988,0.4637942498939843,3.0,2.0,CONDO,FOR_SALE
74,74,21.405912,-158.16606,0.6388579113029837,3.0,2.0,SINGLE_FAMILY,FOR_SALE
75,75,21.404013,-158.16296,0.6678969072713012,3.0,3.0,SINGLE_FAMILY,FOR_SALE
76,76,21.455748,-157.84654,0.995622718913741,3.0,2.0,SINGLE_FAMILY,FOR_SALE
77,77,21.465908,-158.02077,0.48113467891506534,3.0,2.0,CONDO,FOR_SALE
78,78,21.388672,-157.95006,0.995622718913741,3.0,1.0,SINGLE_FAMILY,FOR_SALE
79,79,21.44118,-158.01709,0.5791205481681594,3.0,3.0,TOWNHOUSE,FOR_SALE
80,80,21.340456,-158.107,0.7052327592305665,3.0,2.0,SINGLE_FAMILY,FOR_SALE
81,81,21.395344,-158.00665,0.6214345137219933,3.0,2.0,SINGLE_FAMILY,FOR_SALE
82,82,21.45726,-157.83072,1.7406803869008571,6.0,4.0,MULTI_FAMILY,FOR_SALE
83,83,21.391243,-157.93155,0.38912254597545376,2.0,2.0,CONDO,FOR_SALE
84,84,21.292986,-157.70703,0.5932252033527706,2.0,2.0,CONDO,FOR_SALE
85,85,21.286657,-157.82283,0.3028352436695962,1.0,1.0,CONDO,FOR_SALE
86,86,21.408016,-157.74507,2.4882271116852577,7.0,5.0,SINGLE_FAMILY,FOR_SALE
87,87,21.418312,-157.79414,1.1516036115435604,4.0,3.0,SINGLE_FAMILY,FOR_SALE
88,88,21.409925,-157.94824,0.5965439457491498,3.0,2.0,TOWNHOUSE,FOR_SALE
89,89,21.37717,-157.72835,1.0785912788232195,4.0,2.0,SINGLE_FAMILY,FOR_SALE
90,90,21.30606,-157.84666,0.9126541590042626,4.0,3.0,SINGLE_FAMILY,FOR_SALE
91,91,21.313068,-157.8516,1.0744428508277455,3.0,2.0,SINGLE_FAMILY,FOR_SALE
92,92,21.308216,-157.84409,0.35261637961528325,1.0,1.0,CONDO,FOR_SALE
93,93,21.36953,-157.92198,0.5268503554251879,2.0,2.0,TOWNHOUSE,FOR_SALE
94,94,21.293633,-157.83743,0.37335851959265287,2.0,1.0,CONDO,FOR_SALE
95,95,21.295355,-157.68073,1.3938718064792373,3.0,2.0,SINGLE_FAMILY,FOR_SALE
96,96,21.35806,-158.08257,0.4973965166573231,3.0,2.0,TOWNHOUSE,FOR_SALE
97,97,21.46653,-158.02113,0.3401710956288615,2.0,1.0,CONDO,FOR_SALE
98,98,21.29454,-157.82529,2.0742139977369605,,,MULTI_FAMILY,FOR_SALE
99,99,21.393972,-157.9525,0.4969816738577757,3.0,3.0,TOWNHOUSE,FOR_SALE
100,100,21.385563,-157.93938,0.24807599412934045,1.0,1.0,CONDO,FOR_SALE
101,101,21.355713,-158.0861,0.5392956394116097,2.0,2.0,TOWNHOUSE,FOR_SALE
102,102,21.436922,-158.18614,0.6853203048522917,3.0,1.0,SINGLE_FAMILY,FOR_SALE
103,103,21.275824,-157.82098,0.5791205481681594,2.0,2.0,CONDO,FOR_SALE
104,104,21.451591,-157.82349,1.2860126785969155,6.0,5.0,SINGLE_FAMILY,FOR_SALE
105,105,21.281206,-157.78848,1.721597618121677,3.0,3.0,SINGLE_FAMILY,FOR_SALE
106,106,21.44176,-158.18207,0.638028225703889,4.0,4.0,SINGLE_FAMILY,FOR_SALE
107,107,21.385134,-158.02039,0.7425686111898319,3.0,2.0,SINGLE_FAMILY,FOR_SALE
108,108,21.283642,-157.83226,0.3194289556514919,0.0,1.0,CONDO,FOR_SALE
109,109,21.291733,-157.67506,1.7423397580990467,3.0,3.0,SINGLE_FAMILY,FOR_SALE
110,110,21.279984,-157.76903,1.8667925979632642,5.0,3.0,SINGLE_FAMILY,FOR_SALE
111,111,21.384237,-157.93694,0.4969816738577757,3.0,2.0,TOWNHOUSE,FOR_SALE
112,112,21.442106,-158.17975,0.7591623231717275,4.0,2.0,SINGLE_FAMILY,FOR_SALE
113,113,21.393312,-157.9635,0.7425686111898319,3.0,2.0,SINGLE_FAMILY,FOR_SALE
114,114,21.311335,-158.00491,1.2436987130430814,3.0,2.0,SINGLE_FAMILY,FOR_SALE
115,115,21.378977,-157.73682,1.4312076584385027,3.0,3.0,SINGLE_FAMILY,FOR_SALE
116,116,21.286953,-157.78487,1.7423397580990467,3.0,3.0,SINGLE_FAMILY,FOR_SALE
117,117,21.389029,-157.95705,0.6214345137219933,3.0,1.0,SINGLE_FAMILY,FOR_SALE
118,118,21.342627,-158.0838,0.73012332720341,3.0,2.0,SINGLE_FAMILY,FOR_SALE
119,119,21.42138,-157.80116,0.6347094833075099,3.0,2.0,TOWNHOUSE,FOR_SALE
120,120,21.307467,-157.84776,0.46877236348855306,2.0,2.0,CONDO,FOR_SALE
121,121,21.332123,-158.0135,0.680342191257723,3.0,2.0,SINGLE_FAMILY,FOR_SALE
122,122,21.480455,-158.20338,0.24807599412934045,2.0,1.0,CONDO,FOR_SALE
123,123,21.325275,-158.07661,0.788201319140045,3.0,3.0,SINGLE_FAMILY,FOR_SALE
124,124,21.45187,-157.8265,2.0742139977369605,7.0,8.0,SINGLE_FAMILY,FOR_SALE
125,125,21.352377,-158.08891,0.5268503554251879,2.0,2.0,TOWNHOUSE,FOR_SALE
126,126,21.341534,-158.08499,0.9947930333146462,6.0,3.0,SINGLE_FAMILY,FOR_SALE
127,127,21.405787,-158.03123,0.7682888647617702,3.0,2.0,SINGLE_FAMILY,FOR_SALE
128,128,21.386406,-157.93924,0.31113209966054406,3.0,2.0,CONDO,FOR_SALE
129,129,21.393827,-158.15266,0.5185534994342401,3.0,2.0,SINGLE_FAMILY,FOR_SALE
130,130,21.479717,-157.97713,1.310903246569759,5.0,4.0,SINGLE_FAMILY,FOR_SALE
131,131,21.322134,-158.02287,0.6471547672939316,3.0,3.0,TOWNHOUSE,FOR_SALE
132,132,21.330732,-158.00935,1.2860126785969155,4.0,3.0,SINGLE_FAMILY,FOR_SALE
133,133,21.274765,-157.79735,1.0371069988684802,3.0,3.0,SINGLE_FAMILY,FOR_SALE
134,134,21.438946,-157.83293,0.6289016841138464,3.0,3.0,TOWNHOUSE,FOR_SALE
135,135,21.269073,-157.79362,1.8667925979632642,3.0,4.0,SINGLE_FAMILY,FOR_SALE
136,136,21.280842,-157.79413,0.8089434591174145,,,LOT,FOR_SALE
137,137,21.303635,-157.83763,1.783824038053786,8.0,5.0,MULTI_FAMILY,FOR_SALE
138,138,21.301172,-157.70425,1.306754818574285,3.0,3.0,SINGLE_FAMILY,FOR_SALE
139,139,21.28339,-157.83022,0.315280527656018,1.0,1.0,CONDO,FOR_SALE
140,140,21.339785,-158.01166,0.7633107511672014,3.0,3.0,SINGLE_FAMILY,FOR_SALE
141,141,21.338276,-157.70038,0.9873258629227931,3.0,2.0,SINGLE_FAMILY,FOR_SALE
142,142,21.396492,-157.97557,0.38995223157454856,2.0,2.0,CONDO,FOR_SALE
143,143,21.320198,-158.02287,0.5973728016626455,3.0,3.0,TOWNHOUSE,FOR_SALE
144,144,21.47406,-158.21465,0.4563270795021313,3.0,2.0,SINGLE_FAMILY,FOR_SALE
145,145,21.39556,-157.93277,0.5807799193663489,3.0,2.0,TOWNHOUSE,FOR_SALE
146,146,21.302551,-157.83237,0.3941006595700225,2.0,1.0,CONDO,FOR_SALE
147,147,21.695807,-157.98204,2.0742139977369605,6.0,4.0,SINGLE_FAMILY,FOR_SALE
148,148,21.262749,-157.78748,6.015220593437185,4.0,7.0,SINGLE_FAMILY,FOR_SALE
149,149,21.299507,-157.67535,1.3233485305561807,4.0,2.0,SINGLE_FAMILY,FOR_SALE
150,150,21.284874,-157.7604,1.8153520908193876,5.0,4.0,SINGLE_FAMILY,FOR_SALE
151,151,21.363688,-157.91956,1.068635051634082,4.0,3.0,SINGLE_FAMILY,FOR_SALE
152,152,21.309116,-157.86362,1.0661459948367977,2.0,2.0,CONDO,FOR_SALE
153,153,21.264046,-157.70929,2.8856465136516594,7.0,5.0,SINGLE_FAMILY,FOR_SALE
154,154,21.400427,-157.95007,0.522701927429714,2.0,2.0,TOWNHOUSE,FOR_SALE
155,155,21.308262,-157.81528,1.6577118269913786,4.0,3.0,SINGLE_FAMILY,FOR_SALE
156,156,21.291643,-157.82019,0.2530541077239092,0.0,1.0,CONDO,FOR_SALE
157,157,21.499727,-158.02487,0.4131834283492025,,,LOT,FOR_SALE
158,158,21.460896,-158.00314,0.891912019026893,3.0,3.0,SINGLE_FAMILY,FOR_SALE
159,159,21.414036,-157.7666,1.0744428508277455,3.0,2.0,SINGLE_FAMILY,FOR_SALE
160,160,21.314365,-158.02254,0.6214345137219933,3.0,3.0,TOWNHOUSE,FOR_SALE
161,161,21.284998,-157.77032,1.1823019787100675,4.0,3.0,SINGLE_FAMILY,FOR_SALE
162,162,21.33629,-158.03247,0.7782450919509075,3.0,2.0,SINGLE_FAMILY,FOR_SALE
163,163,21.541883,-157.84247,1.0371069988684802,3.0,2.0,SINGLE_FAMILY,FOR_SALE
164,164,21.406246,-158.17587,1.1200755587779585,9.0,7.0,SINGLE_FAMILY,FOR_SALE
165,165,21.279453,-157.82367,0.315280527656018,1.0,1.0,CONDO,FOR_SALE
166,166,21.356829,-158.02724,0.3858038035790746,1.0,1.0,TOWNHOUSE,FOR_SALE
167,167,21.415342,-157.95729,0.8288559134956893,4.0,2.0,SINGLE_FAMILY,FOR_SALE
168,168,21.408592,-158.16798,0.5890767753572967,4.0,3.0,SINGLE_FAMILY,FOR_SALE
169,169,21.309649,-157.79045,1.203044118687437,4.0,3.0,SINGLE_FAMILY,FOR_SALE
170,170,21.28431,-157.81126,1.0578491388458497,5.0,2.0,MULTI_FAMILY,FOR_SALE
171,171,21.503412,-158.0195,0.6596000512803534,3.0,2.0,SINGLE_FAMILY,FOR_SALE
172,172,21.319565,-158.00534,0.9126541590042626,3.0,3.0,SINGLE_FAMILY,FOR_SALE
173,173,21.396738,-157.92181,1.4063170904656592,4.0,3.0,SINGLE_FAMILY,FOR_SALE
174,174,21.315655,-157.85645,0.26466970611123614,1.0,1.0,CONDO,FOR_SALE
175,175,21.322168,-158.0237,0.6247532561183725,3.0,3.0,TOWNHOUSE,FOR_SALE
176,176,21.374601,-157.72128,1.4926043927715167,5.0,4.0,SINGLE_FAMILY,FOR_SALE
177,177,21.46256,-158.01657,1.160730153133603,5.0,3.0,SINGLE_FAMILY,FOR_SALE
178,178,21.335897,-158.02039,0.7135296152215144,3.0,2.0,SINGLE_FAMILY,FOR_SALE
179,179,21.405703,-157.99356,1.32666727295256,13.0,7.0,SINGLE_FAMILY,FOR_SALE
180,180,21.281364,-157.8163,0.4895145034659226,2.0,2.0,CONDO,FOR_SALE
181,181,21.643286,-158.0394,1.514176218347981,4.0,3.0,SINGLE_FAMILY,FOR_SALE
182,182,21.329824,-158.0257,0.7259748992079361,3.0,2.0,SINGLE_FAMILY,FOR_SALE
183,183,21.318033,-157.85336,1.2694189666150197,,,MULTI_FAMILY,FOR_SALE
184,184,21.30548,-157.83398,0.1991245437827482,0.0,1.0,CONDO,FOR_SALE
185,185,21.33948,-158.01813,0.5807799193663489,3.0,2.0,CONDO,FOR_SALE
186,186,21.326187,-157.87526,0.3028352436695962,2.0,1.0,CONDO,FOR_SALE
187,187,21.39591,-157.74231,0.6015220593437185,2.0,2.0,CONDO,FOR_SALE
188,188,21.412275,-157.74356,5.185534994342401,4.0,5.0,SINGLE_FAMILY,FOR_SALE
189,189,21.2711,-157.70699,2.310674393478974,3.0,3.0,SINGLE_FAMILY,FOR_SALE
190,190,21.406572,-158.16817,0.5807799193663489,3.0,3.0,SINGLE_FAMILY,FOR_SALE
191,191,21.315817,-157.80513,1.4021686624701852,3.0,2.0,SINGLE_FAMILY,FOR_SALE
192,192,21.416924,-157.8111,0.5392956394116097,2.0,1.0,TOWNHOUSE,FOR_SALE
193,193,21.274864,-157.70848,4.314364285607279,6.0,9.0,SINGLE_FAMILY,FOR_SALE
194,194,21.346107,-157.90512,0.36340229240351546,1.0,1.0,CONDO,FOR_SALE
195,195,21.305573,-157.84076,0.3484679516198093,1.0,1.0,CONDO,FOR_SALE
196,196,21.38513,-157.7347,1.3482390985290242,3.0,2.0,SINGLE_FAMILY,FOR_SALE
197,197,21.41641,-157.79388,0.5376362682134201,,,LOT,FOR_SALE
198,198,21.361774,-158.08922,0.43060682593019295,2.0,2.0,CONDO,FOR_SALE
199,199,21.366484,-158.08298,0.37335851959265287,2.0,1.0,TOWNHOUSE,FOR_SALE
200,200,21.308619,-158.02718,1.207192546682911,4.0,3.0,SINGLE_FAMILY,FOR_SALE
201,201,21.28599,-157.82373,0.6969359032396186,2.0,2.0,CONDO,FOR_SALE
202,202,21.331465,-158.01521,0.6637484792758274,3.0,3.0,SINGLE_FAMILY,FOR_SALE
203,203,21.47503,-158.00542,1.0362773132693854,3.0,3.0,SINGLE_FAMILY,FOR_SALE
204,204,21.370005,-157.76804,1.4312076584385027,4.0,2.0,SINGLE_FAMILY,FOR_SALE
205,205,21.45777,-158.00986,0.9499900109635279,4.0,2.0,SINGLE_FAMILY,FOR_SALE
206,206,21.345875,-158.08907,0.8089434591174145,4.0,2.0,SINGLE_FAMILY,FOR_SALE
207,207,21.259974,-157.79178,3.7335851959265285,4.0,5.0,SINGLE_FAMILY,FOR_SALE
208,208,21.331839,-158.07033,0.4289474547320034,2.0,1.0,TOWNHOUSE,FOR_SALE
209,209,21.483389,-158.20284,0.2397791381383926,1.0,1.0,CONDO,FOR_SALE
210,210,21.337467,-158.11089,0.6430063392984577,2.0,3.0,TOWNHOUSE,FOR_SALE
211,211,21.484661,-158.19267,1.2843533073987259,4.0,4.0,SINGLE_FAMILY,FOR_SALE
212,212,21.367588,-157.91483,1.0371069988684802,4.0,2.0,SINGLE_FAMILY,FOR_SALE
213,213,21.293634,-157.84013,0.23231196774653956,0.0,1.0,CONDO,FOR_SALE
214,214,21.338648,-158.03078,0.315280527656018,1.0,1.0,TOWNHOUSE,FOR_SALE
215,215,21.388962,-158.03009,0.7367608119961683,3.0,2.0,SINGLE_FAMILY,FOR_SALE
216,216,21.394508,-158.02763,0.7458873535862109,3.0,2.0,SINGLE_FAMILY,FOR_SALE
217,217,21.462927,-158.00345,0.8197293719056468,2.0,2.0,SINGLE_FAMILY,FOR_SALE
218,218,21.32035,-158.00725,0.6844906192531969,5.0,2.0,SINGLE_FAMILY,FOR_SALE
219,219,21.271265,-157.7757,0.14519497984158722,2.0,2.0,CONDO,FOR_SALE
220,220,21.311068,-157.83585,3.235773836469658,12.0,10.0,SINGLE_FAMILY,FOR_SALE
221,221,21.282713,-157.8288,0.3401710956288615,1.0,1.0,CONDO,FOR_SALE
222,222,21.50869,-158.0014,0.5932252033527706,3.0,2.0,SINGLE_FAMILY,FOR_SALE
223,223,21.358204,-158.02664,0.7458873535862109,3.0,3.0,SINGLE_FAMILY,FOR_SALE
224,224,21.259148,-157.81924,4.645409669331697,2.0,2.0,CONDO,FOR_SALE
225,225,21.49638,-158.04994,0.28624153168770056,2.0,1.0,CONDO,FOR_SALE
226,226,21.27509,-157.81874,0.29038995968317444,1.0,1.0,CONDO,FOR_SALE
