title,lat,long,ratings,reviews
Polynesian Cultural Center,21.6407226,-157.9213677,4.6,15929
Iolani Palace,21.3067572,-157.85876969999998,4.6,4029
Hawaiʻi Volcanoes National Park,19.4193697,-155.28849689999998,4.7,10254
Pearl Harbor National Memorial,21.3675985,-157.93885799999998,4.8,15594
Nā Pali Coast State Wilderness Park,22.1667399,-159.63924409999998,4.8,1675
Akaka Falls State Park,19.8539,-155.1521859,4.7,5262
The Byodo-In Temple,21.430706999999998,-157.832232,4.7,4218
Waimea Canyon State Park,22.0714839,-159.6616774,4.9,4491
Kualoa Ranch,21.5206575,-157.8372609,4.6,11445
Bishop Museum,21.3329195,-157.87061269999998,4.6,3435
"Maui Ocean Center, The Aquarium of Hawaii",20.7926322,-156.51216159999998,4.5,7223
Dole Plantation,21.5260517,-158.03764809999998,4.2,24505
Diamond Head State Monument,21.2637984,-157.8040943,4.7,13061
Pearl Harbor Aviation Museum,21.359744,-157.96182299999998,4.6,4265
USS Bowfin Submarine Museum & Park,21.368750199999997,-157.9395017,4.8,1053
Wailua Falls,20.683355799999998,-156.0304664,4.8,1085
Paradise Cove Luau,21.343656799999998,-158.12754329999999,4.5,5300
Haleakalā National Park,20.7203826,-156.1551524,4.8,9001
Waipiʻo Valley Lookout,20.1180193,-155.584348,4.7,2866
Nakalele Blowhole,21.0271397,-156.5885569,4.7,3808
Foster Botanical Garden,21.3168139,-157.8590314,4.6,1366
Waimea Valley,21.640032899999998,-158.060078,4.6,3187
Pearl Harbor Historic Sites Visitor Center,21.3675592,-157.93885029999998,4.7,14118
Koko Crater Railway Trailhead,21.2808697,-157.6919389,4.8,1084
Ho’omaluhia Botanical Garden,21.3866022,-157.804555,4.7,3708
"Shangri La Museum of Islamic Art, Culture & Design",21.2570987,-157.79499629999998,4.6,315
Mauna Kea,19.8230355,-155.46944829999998,4.9,1087
Waikiki Aquarium,21.265798099999998,-157.8216482,3.9,919
Battleship Missouri Memorial,21.3621169,-157.9534244,4.8,9883
Panaewa Rainforest Zoo and Gardens,19.6552065,-155.07490769999998,4.6,1863
Lapakahi State Historical Park,20.1746174,-155.8971655,4.6,447
Honolulu Zoo,21.2710896,-157.82147849999998,4.2,7687
Kiholo Bay,19.856367499999998,-155.92174459999998,4.6,312
Hawai‘i Tropical Bioreserve & Garden,19.81093,-155.0960955,4.8,2800
Mokupāpapa Discovery Center,19.7267489,-155.0870462,4.6,321
Hulihe‘e Palace,19.639333699999998,-155.99435219999998,4.4,537
Kona Coffee Living History Farm,19.4910332,-155.9142752,4.5,289
Princeville Botanical Gardens,22.198296,-159.45475399999998,4.9,227
Honolulu Museum of Art (HoMA),21.3037991,-157.84870139999998,4.6,1553
Chief's Luau,21.3356088,-158.0877984,4.6,3496
Pu'uhonua O Honaunau National Historical Park,19.4087958,-155.9026125,4.7,4294
Hawaii's Plantation Village,21.3853579,-158.0119119,4.6,314
Kona Coffee Living History Farm,19.4910332,-155.9142752,4.5,289
Duke Paoa Kahanamoku Statue,21.275519499999998,-157.8253238,4.6,3470
Nāpō’opo’o Pier,19.4737814,-155.91882099999998,4.6,165
Chief's Luau,21.3356088,-158.0877984,4.6,3496
Upper Waikani Falls,20.832366699999998,-156.1388433,4.7,328
Steam Vents,19.431419599999998,-155.2678831,4.6,1102
Princeville Botanical Gardens,22.198296,-159.45475399999998,4.9,227
Kona Cloud Forest Sanctuary,19.7063579,-155.9480078,4.9,253
Kilauea Point National Wildlife Refuge,22.227729,-159.4013929,4.7,652
Kailua Beach Park,21.397396,-157.7272179,4.7,10052
Best of Hawaii Tours and Activities,21.2867015,-157.8393346,4.0,109
Jungle Zipline Maui-HI,20.908068999999998,-156.228042,4.8,558
Hapuna Beach State Recreation Area,19.9913889,-155.825,4.8,4316
Kūhiō Beach,21.272772399999997,-157.82381239999998,4.6,1042
Liliuokalani Gardens,19.726371999999998,-155.06807899999998,4.7,2396
Pololū Valley Lookout,20.2035807,-155.73384969999998,4.8,1460
Onomea Bay Trail,19.8060687,-155.0921139,4.7,681
Kilauea Overlook,19.4232814,-155.2841674,4.8,589
Wailuku River State Park,19.7190351,-155.1059675,4.6,2993
Dolphin Quest Hawaii - Swim with Dolphins,19.925504999999998,-155.88902199999998,4.3,725
Nahuku - Thurston Lava Tube,19.4138014,-155.238647,4.6,1362
Lyman Museum,19.7221983,-155.0906609,4.6,74
Hawaii Oceanic,19.5611684,-155.9624475,4.8,126
Kilauea Visitor Center,19.429664199999998,-155.2571648,4.6,3874
Kailua Pier,19.6393742,-155.9969544,4.5,899
Baldwin Beach Park,20.913093399999998,-156.3925547,4.6,1279
Pacific Tsunami Museum,19.725952799999998,-155.08664439999998,4.3,300
Paleaku Gardens Peace Sanctuary,19.451072,-155.8920271,4.7,300
Sea Life Park Hawaii,21.3137242,-157.6636201,4.1,4354
Pahua Heiau,21.2984732,-157.689947,4.7,12
Puakō Petroglyph Park,19.9545118,-155.85305169999998,4.4,326
Kaumana Caves,19.6869083,-155.1308393,4.7,1499
Mountain Thunder Coffee Plantation,19.702254999999997,-155.944353,4.6,570
Hawaii Volcanoes National Park Sign,19.350252299999998,-155.3849244,4.9,10
The Naha Stone,19.724465199999997,-155.0905529,4.4,37
Pu’u Ali’I Bay,19.797414399999997,-156.02634849999998,4.7,3
Anna Ranch Heritage Center,20.0265582,-155.68779419999998,4.6,81
Captain James Cook Monument,19.4812908,-155.9333954,4.6,830
USS Utah Memorial,21.3688649,-157.9620733,4.8,451
Devastation Trail,19.406460199999998,-155.2529021,4.6,397
Mauna Loa Macadamia Nut Visitor Center,19.656713,-155.00932219999999,4.0,396
Ainahau Triangle,21.2824597,-157.8329468,4.5,48
Kamakana Playground,19.5515355,-155.9367495,4.7,253
Imiloa Astronomy Center,19.7011173,-155.0886773,4.4,88
Waikōloa Petroglyph Reserve,19.916991799999998,-155.880135,4.3,161
Botanical World Adventures,19.903797,-155.136609,4.7,483
Ocean Rider Inc,19.7231247,-156.0564987,4.5,609
Magic Sands Beach Park,19.5943328,-155.9718466,4.5,3700
Hawaiian Legacy Tours,19.9910604,-155.3617856,5.0,4
Blue Hawaiian Helicopters,19.9207438,-155.8600649,4.8,554
Tsunami Clock of Doom,19.7227533,-155.06745229999999,4.4,28
Keauhou-Kahalu'u Heritage Corridor,19.569100799999998,-155.9623942,4.5,16
Pu'u O'o Trail,19.6769922,-155.3843164,4.6,65
The Vanillerie,19.7267957,-156.02576539999998,4.8,230
Volcano Winery,19.445697199999998,-155.28480829999998,4.6,323
Maka'eo Walking Path,19.6460719,-156.0122184,4.6,188
Hilo Farmers Market,19.7230064,-155.08482709999998,4.4,4315
Big Island Bees,19.470629199999998,-155.9061808,4.8,558
